online,max_stack,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,float64,int64,bool,float64,int64,int64,int64
True,inf,9,True,0.006,146133,1024000,788
True,inf,9,True,0.006,146470,1024000,790
True,inf,9,True,0.006,146833,1024000,792
True,inf,9,True,0.006,147155,1024000,794
True,inf,9,True,0.006,147466,1024000,796
True,inf,9,True,0.006,147784,1024000,798
True,inf,9,True,0.006,148103,1024000,800
True,inf,9,True,0.006,148523,1024000,802
True,inf,9,True,0.006,148777,1024000,804
True,inf,9,True,0.006,149041,1024000,806
True,inf,9,True,0.006,149387,1024000,808
True,inf,9,True,0.006,149714,1024000,810
True,inf,9,True,0.006,150046,1024000,812
True,inf,9,True,0.006,150397,1024000,814
True,inf,9,True,0.006,150706,1024000,816
True,inf,9,True,0.006,150996,1024000,818
True,inf,9,True,0.006,151396,1024000,820
True,inf,9,True,0.006,151781,1024000,822
True,inf,9,True,0.006,152088,1024000,824
True,inf,9,True,0.006,152427,1024000,826
True,inf,9,True,0.006,152720,1024000,828
True,inf,9,True,0.006,153047,1024000,830
True,inf,9,True,0.006,153380,1024000,832
True,inf,9,True,0.006,153741,1024000,834
True,inf,9,True,0.006,154117,1024000,836
True,inf,9,True,0.006,154439,1024000,838
True,inf,9,True,0.006,154745,1024000,840
True,inf,9,True,0.006,155084,1024000,842
True,inf,9,True,0.006,155410,1024000,844
True,inf,9,True,0.006,155719,1024000,846
True,inf,9,True,0.006,156058,1024000,848
True,inf,9,True,0.006,156389,1024000,850
True,inf,9,True,0.006,156740,1024000,852
True,inf,9,True,0.006,157061,1024000,854
True,inf,9,True,0.006,157348,1024000,856
True,inf,9,True,0.006,157694,1024000,858
True,inf,9,True,0.006,158018,1024000,860
True,inf,9,True,0.006,158390,1024000,862
True,inf,9,True,0.006,158697,1024000,864
True,inf,9,True,0.006,159064,1024000,866
True,inf,9,True,0.006,159342,1024000,868
True,inf,9,True,0.006,159675,1024000,870
True,inf,9,True,0.006,160015,1024000,872
True,inf,9,True,0.006,160317,1024000,874
True,inf,9,True,0.006,160560,1024000,876
True,inf,9,True,0.006,160908,1024000,878
True,inf,9,True,0.006,161261,1024000,880
True,inf,9,True,0.006,161608,1024000,882
True,inf,9,True,0.006,161936,1024000,884
True,inf,9,True,0.006,162304,1024000,886
True,inf,9,True,0.006,162644,1024000,888
True,inf,9,True,0.006,162974,1024000,890
True,inf,9,True,0.006,163248,1024000,892
True,inf,9,True,0.006,163585,1024000,894
True,inf,9,True,0.006,163904,1024000,896
True,inf,9,True,0.006,164227,1024000,898
True,inf,9,True,0.006,164473,1024000,900
True,inf,9,True,0.006,164838,1024000,902
True,inf,9,True,0.006,165141,1024000,904
True,inf,9,True,0.006,165435,1024000,906
True,inf,9,True,0.006,165746,1024000,908
True,inf,9,True,0.006,166153,1024000,910
True,inf,9,True,0.006,166491,1024000,912
True,inf,9,True,0.006,166795,1024000,914
True,inf,9,True,0.006,167113,1024000,916
True,inf,9,True,0.006,167416,1024000,918
True,inf,9,True,0.006,167743,1024000,920
True,inf,9,True,0.006,168011,1024000,922
True,inf,9,True,0.006,168353,1024000,924
True,inf,9,True,0.006,168667,1024000,926
True,inf,9,True,0.006,169017,1024000,928
True,inf,9,True,0.006,169319,1024000,930
True,inf,9,True,0.006,169635,1024000,932
