online,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,int64,bool,float64,int64,int64,int64
True,100,True,0.006,1765,10240,83000
True,100,True,0.006,1770,10240,84000
True,100,True,0.006,1799,10240,85000
True,100,True,0.006,1815,10240,86000
True,100,True,0.006,1833,10240,87000
True,100,True,0.006,1853,10240,88000
True,100,True,0.006,1866,10240,89000
True,100,True,0.006,1883,10240,90000
True,100,True,0.006,1895,10240,91000
True,100,True,0.006,1919,10240,92000
True,100,True,0.006,1937,10240,93000
True,100,True,0.006,1953,10240,94000
True,100,True,0.006,1976,10240,95000
True,100,True,0.006,1990,10240,96000
True,100,True,0.006,2011,10240,97000
True,100,True,0.006,2019,10240,98000
True,100,True,0.006,2031,10240,99000
